title,video_id,published_at,channel_title
President Trump cut $400 million in funding to Columbia University over anti-Israel protests,3tOs4-Ketqk,2025-03-08T01:21:20Z,Fox
Karine Jean-Pierre claims Biden was &#39;very honest&#39; about his decline,i4si1Hta2i8,2025-02-28T07:00:33Z,Fox
&#39;LIBERAL MALAISE&#39;: Harvard conservative paper lands major free speech win,5E_MXRs_4nM,2025-01-25T15:15:00Z,Fox
Dershowitz: This is insane,m0RDujqRk1c,2024-12-16T21:15:01Z,Fox
‘DISGRACE’: DA Bragg slammed for making Daniel Penny case about race,oH23M09zZis,2024-12-07T03:45:02Z,Fox
Harvard professor reveals how not to be part of the problem,9KrAk55m6q0,2024-12-01T10:00:16Z,Fox
&#39;The Five&#39; reacts to Trump nominating Pete Hegseth as Secretary of Defense,K-wtOHtUBDc,2024-11-14T00:45:00Z,Fox
&#39;Fascinating&#39;: Hosts react to Pete Hegseth&#39;s Defense nomination,tneI0hsOWhs,2024-11-13T14:45:04Z,Fox
"Tyrus torches &#39;The View&#39; hosts over reaction to Trump win: &#39;Bitter, angry, entitled&#39;",w1-X9X54yU4,2024-11-08T23:00:53Z,Fox
Potential ousting of DNC’s Hogg has ‘nothing to do’ with DEI: Lara Trump,i2hHt1I3ip0,2025-05-01T12:15:11Z,Fox
Will Cain grades Trump’s first 100 days: Did he deliver on his promises? | Will Cain Show,g3_j6H1sKu4,2025-04-29T17:15:57Z,Fox
I see why MSNBC fired Joy Reid: Dana Loesch,9fKQPog-GEM,2025-04-29T07:30:05Z,Fox
"Radical protests, DEI disasters &amp; Shedeur Sanders! PLUS, Kelsey Grammer | Will Cain Show",eVXEcKXfQr4,2025-04-28T17:18:25Z,Fox
Gutfeld: Dems ‘suckered’ themselves with this ‘latest fiction’,r3oJlmzhJQM,2025-04-18T02:30:06Z,Fox
Maine Gov. Mills responds to trans athlete DOJ lawsuit #maine #foxnews #trump #news #shorts #fox,l7sF9-UsiVs,2025-04-17T11:38:26Z,Fox
Gutfeld: The media is creating a ‘new phantom scare’ around the &#39;manosphere&#39;,hm0vDxFGyUM,2025-04-16T02:45:04Z,Fox
&#39;IT&#39;S CRAZY&#39;: Trump asks El Salvador president about men in women&#39;s sports,wshwD-sX4ac,2025-04-14T21:00:58Z,Fox
Assault on faith: SNL skit mocks Jesus and Easter,ymR5lxDvkng,2025-04-14T06:15:04Z,Fox
