comment,likes,published_at
"Well then, no government funding, simple as it is!",0,2025-04-17T06:33:05Z
Dw is antisemitic in their reports,0,2025-04-17T06:25:28Z
It's a tough lesson for Americans who voted for an uneducated person as their president.,0,2025-04-17T06:13:20Z
And all of this is happening in the first 100 days of the Trump presidency.  His handler Stephen Miller is hellbent on turning the US into an neo-conservative authoritarian dictatorship and in the process our economy will collapse and our place in the world will decline.,0,2025-04-17T05:06:14Z
Procinctus Volare,0,2025-04-17T04:54:28Z
Don't worry the Palestine protesters will still get proper funding from Harvard,0,2025-04-17T04:34:44Z
most of them that go there never get a job period ?,0,2025-04-17T03:10:24Z
So this elite wealthy group of people  is complaining about not reciving more money?  Right.,0,2025-04-17T02:18:36Z
"Harvard should open crowd fund without strings attached to the world even, not only usa. We’ll show the power ofthe people",0,2025-04-17T01:56:00Z
Utterly brilliant and accurate guests - what a devastating combo.,1,2025-04-16T23:28:52Z
This is the Freeman vs Friedman argument all over again.,0,2025-04-16T23:28:32Z
Great. Harvard is a nasty university and does not require any federal funding as they promote anti semitism and promote Palestinian protests. They can get money privately.,0,2025-04-16T22:44:02Z
Higher education does not equate wisdom.😊,0,2025-04-16T21:41:49Z
"He only froze the money, Harvard wants more and won't follow the laws.",0,2025-04-16T21:41:45Z
"Harvard U. is a very soft target for the Orange baby.  They are rich as sin, and  his base hates them.  This is low hanging fruit for MAGA.",0,2025-04-16T20:27:03Z
"Free speech doesn't mean you violated the law and can be racist also if you get money from the government, the government can definitely have  say especially, if you have a political tax exemption but you want to be political.... if it was a corporation doing this, people would be celebrating....(Oh, and they have the money)",1,2025-04-16T20:12:52Z
Why does a rich school need government money,12,2025-04-16T19:58:26Z
"I'm definitely NOT MAGA, but perhaps funding to major universities like Harvard and Yale should be cut drastically - so long as they continue to graduate people like JD Vance,  Vivek Ramaswami, and (of course) Donald Trump, among others like them. Seems that something is fundamentally wrong with such a system [of higher learning?].",0,2025-04-16T19:57:19Z
Why do government funding a private university?,1,2025-04-16T19:43:07Z
Harward is stealing american tax payers dollars. its time to shut down that WOKE university,2,2025-04-16T19:07:50Z
"Harvard University won’t allow or tolerate any sort of protest against barbaric genocidal Communist China 🇨🇳 whenever there’s Chinese regime sponsored official programs or seminars at the Harvard University because they get millions of dollars from CCP China 🇨🇳 but they would happily allow protesters who are anti-American & pro-terrorist organizations 😏, can’t make this stuff up seriously 😒… 
It’s called liberal hypocrisy & liberal lunacy in a nutshell 🙄…",2,2025-04-16T19:05:52Z
"Meanwhile China is heavily funding it's University's, putting them amongst the top institutions in the world. This clown is slowly destroying the U.S. from within.",0,2025-04-16T19:00:48Z
The aliens taking over human brains have arrived.,0,2025-04-16T18:51:57Z
science research is for liberals.,0,2025-04-16T18:21:11Z
God have mercy on the USA because it’s looking grim for them.,0,2025-04-16T18:16:40Z
"Funny how the party of ""Small goverment"" is ok with more Gov oversight.",0,2025-04-16T18:15:25Z
Bullying is far more cruel than Antisemitism,0,2025-04-16T18:11:21Z
""".... His agenda is is getting viewpoint diversity... His agenda is getting his viewpoint across...""
Isn't that what the left has been screaming for the last 10 years? Diversity?
Or is it diversity when its only our viewpoint and our agenda?

Hypocrisy of the left has no boundaries....",1,2025-04-16T17:51:07Z
America is finished,6,2025-04-16T17:31:41Z
"Both are right. Hands off Harvard, but if you want fed money you need to play the tune. Quite reasonable",0,2025-04-16T17:25:40Z
Great journalism DW thanks,0,2025-04-16T17:19:12Z
The hair is very distracting.,0,2025-04-16T17:15:48Z
Harvard 😊,0,2025-04-16T17:12:43Z
"_""Blessed be the fruit""_ 🙆🏼‍♂️
Gilead Administration ███████▒▒▒ 70%",0,2025-04-16T17:09:06Z
"I make 35,000 a year why are my tax dollars going to Harvard",4,2025-04-16T16:58:37Z
"trump is behaving in SHAMELESS & SHAMEFUL DICTATORSHIP. Harvard should question/challenge the validity, morality & appropriateness of trump's demands by going to the SCOTUS.",0,2025-04-16T16:58:29Z
"Actually,trump wants to control all institution because he won't give up his power after completing his tenure.He wants make himself an emperor.First and foremost he wants to decapitate democracy because he knows that it won't allow him what he wants to do.",0,2025-04-16T16:57:49Z
"Harvard will survive, they won 🏆 respect!",0,2025-04-16T16:54:58Z
Proud of Harvard 🫡❤️,0,2025-04-16T16:51:51Z
"Why is Harvard, a university with $50 billion endowment getting any money from taxpayers?! That's ridiculous.",1,2025-04-16T16:51:16Z
Trump is not here to make America great again but he wants to destroy its institution.,0,2025-04-16T16:41:55Z
"Next step:: Auto da fé   of so called ""woke""publications . 
Mark my words .",0,2025-04-16T16:27:18Z
Obviously Israel 🇮🇱 is behind all of this,0,2025-04-16T16:26:51Z
"Why does Harvard accept money from a government to begin with? This is not an attack on free spech or a dictatorial behaviour, is basically a way to push Harvard to become self sufficient without aid from governments, basically. Either Harvard becomes self sufficient by itself, or has to obey whatever the investors (in this case the government) say. I saw this in Uruguay by public universities, same response from students, but I can't believe it's happening with a reputable high quality private university.

Private universities should not depend on governments for funding. Or else they're not private, they're public, and so, accountable to whatever a public government says and demands. Behind the turmoil, this is an essential lesson in self sufficiency and cutting dependency on government welfare, basically.",2,2025-04-16T16:22:24Z
"We welcome all Harvard degree holders to come to Bangkok. 
You can file for bankruptcy in the US. You dont have to pay your student debts and after 7 years living and working in Bangkok you can do back the the US and your debt is cleared! Safe money make money!",0,2025-04-16T16:21:26Z
A good distraction from the taxation fights...,0,2025-04-16T16:09:46Z
"President Obama, whats your take?",0,2025-04-16T16:05:36Z
2:20 shifting to Merit based admission is too much for Harvard 😂😂,1,2025-04-16T16:00:45Z
"Universities are not the place to protest.
Have you come here to study or to protest?",3,2025-04-16T15:58:58Z
"Thank you Mr president, So called private entity needs taxpayers money,  how refreshing, learn to pay your bills like everyone else.",2,2025-04-16T15:53:17Z
Brain drain.,0,2025-04-16T15:44:01Z
"Oh!! Dear Americans! Welcome to Autocracy, Dictatorship and East Europe fashions in the 70/80s 
What a scam USA has become!",0,2025-04-16T15:37:39Z
Didn’t know it was Israel first,0,2025-04-16T15:15:04Z
"Haaaah-vaaahd = over privileged crybullies. 
TAX THE ENDOWMENTS !!!
.",0,2025-04-16T15:01:16Z
"Great job Trump,2020🎉😂, make them change, a change is coming,bye bye 2,000,000,000 😢 👍 what a wonderful job Trump doing",1,2025-04-16T14:47:32Z
Students don't want to study but  long to become activists and criminals. Teachers also prefer activism over scholarship 😊,0,2025-04-16T14:45:45Z
This is political hit-piece. Trash,0,2025-04-16T14:44:34Z
Congrats Harvard for being on the right side of History. I will always remember where you are and how Columbia chose to be silent before an authiritarian at home. Thank you Harvard!!,0,2025-04-16T14:42:05Z
"Idk about the rest, but merit based admissions seems like the right thing to do.",0,2025-04-16T14:41:14Z
*That's good! This is a breeding ground for lefties and liberals. Cut the funding!*,0,2025-04-16T14:31:05Z
"Being myself someone who grew up in a dictatorship country(cuba). I can tell you that is where the us is heading the way trump is governing. He has put unqualified people in government only because they simpatize with him and therefore will allow him to do whatever he wants. Dictating how universities should act. Overpassing Supreme Court rules and American constitutional rights. Creating fear in the population to impose control. Next thing is to corrupt the electoral sistem to stay in power for how ever long he wants, like Putin, like castros. I honestly think us is going to have a civil war happening very soon.",0,2025-04-16T14:27:47Z
2.2 billion and still private,0,2025-04-16T14:08:03Z
I dislike this news anchor. He was so biased in his reporting on Gaza that I firmly believe he is a closeted Zio.,0,2025-04-16T14:05:58Z
Bcz none of MAGA went to Harward… or they cant,0,2025-04-16T13:54:40Z
"I strongly recommend everyone watch on YouTube:
""Jeffrey Sachs' Scary Prediction On US-China Trade Deal Amid Tariff War| Trump| Xi Jinping| Markets""",0,2025-04-16T13:54:02Z
"America is fighting against cultural Marxism, and Harvard is a hotbed of DEI. If you don't understand this it's on you, not the US.",1,2025-04-16T13:52:01Z
The commentator forgot to mention that the single biggest reason for rising antisemitism is izrael itself.,0,2025-04-16T13:51:41Z
They will come to trump way when they realize money is needed 😂,0,2025-04-16T13:46:35Z
Its great to see True American institutes stand up and resist politicians who are controlled and influenced by foreign entities and wealthy zios that seek unethical foreign interest instead of the interest and values of American people,1,2025-04-16T13:41:14Z
Surely Harvard has a lawyer or two to challenge the President's authority to impound Congressionally allocated funds.,0,2025-04-16T13:38:33Z
"Disagreeing with Israel's inhumane treatment of Palestinians, since the 1970'ies, is a political opinion and not the same as being antisemitic. People in the US don't seem to know the difference.",73,2025-04-16T13:36:10Z
